colony,group,day,development,experimental_repeat
A,exposed,9,0,1
A,exposed,9,0,1
A,exposed,9,0,1
A,exposed,9,0,1
A,exposed,9,0,1
A,exposed,9,0,1
A,exposed,9,0,1
A,exposed,9,0,1
A,exposed,9,0,1
A,exposed,9,0,1
A,exposed,9,0,1
A,exposed,9,0,1
A,exposed,9,0,1
A,exposed,9,0,1
A,exposed,9,0,1
A,exposed,9,0,1
A,exposed,9,0,1
A,exposed,9,0,1
A,exposed,9,0,1
A,exposed,9,0,1
A,exposed,9,0,1
A,exposed,9,0,1
A,exposed,9,0,1
A,exposed,9,0,1
A,exposed,9,0,1
A,exposed,9,0,1
A,exposed,9,0,1
A,exposed,9,0,1
A,exposed,9,0,1
A,exposed,9,0,1
A,exposed,9,0,1
A,exposed,9,0,1
A,exposed,9,0,1
A,exposed,9,0,1
A,exposed,9,0,1
A,exposed,9,0,1
A,exposed,9,0,1
A,exposed,9,0,1
A,exposed,9,0,1
A,exposed,9,0,1
A,exposed,9,0,1
A,exposed,9,0,1
A,exposed,9,0,1
A,exposed,9,0,1
A,exposed,9,0,1
A,exposed,9,0,1
A,exposed,9,0,1
A,exposed,9,0,1
A,unexposed,9,0,1
A,unexposed,9,0,1
A,unexposed,9,0,1
A,unexposed,9,0,1
A,unexposed,9,0,1
A,unexposed,9,0,1
A,unexposed,9,0,1
A,unexposed,9,0,1
A,unexposed,9,0,1
A,unexposed,9,0,1
A,unexposed,9,0,1
A,unexposed,9,0,1
A,unexposed,9,0,1
A,unexposed,9,0,1
A,unexposed,9,0,1
A,unexposed,9,0,1
A,unexposed,9,0,1
A,unexposed,9,0,1
A,unexposed,9,0,1
A,unexposed,9,0,1
A,unexposed,9,0,1
A,unexposed,9,0,1
A,unexposed,9,0,1
A,unexposed,9,0,1
B,exposed,9,0,1
B,exposed,9,0,1
B,exposed,9,0,1
B,exposed,9,0,1
B,exposed,9,0,1
B,exposed,9,0,1
B,exposed,9,0,1
B,exposed,9,0,1
B,exposed,9,0,1
B,exposed,9,0,1
B,exposed,9,0,1
B,exposed,9,0,1
B,exposed,9,0,1
B,exposed,9,0,1
B,exposed,9,0,1
B,exposed,9,0,1
B,exposed,9,0,1
B,exposed,9,0,1
B,exposed,9,0,1
B,exposed,9,0,1
B,exposed,9,0,1
B,exposed,9,0,1
B,exposed,9,0,1
B,exposed,9,0,1
B,exposed,9,0,1
B,exposed,9,0,1
B,exposed,9,0,1
B,exposed,9,0,1
B,exposed,9,0,1
B,exposed,9,0,1
B,exposed,9,0,1
B,exposed,9,0,1
B,exposed,9,0,1
B,exposed,9,0,1
B,exposed,9,0,1
B,exposed,9,0,1
B,exposed,9,0,1
B,exposed,9,0,1
B,exposed,9,0,1
B,exposed,9,0,1
B,exposed,9,0,1
B,exposed,9,0,1
B,exposed,9,0,1
B,exposed,9,0,1
B,exposed,9,0,1
B,exposed,9,0,1
B,exposed,9,0,1
B,exposed,9,0,1
B,unexposed,9,0,1
B,unexposed,9,0,1
B,unexposed,9,0,1
B,unexposed,9,0,1
B,unexposed,9,0,1
B,unexposed,9,0,1
B,unexposed,9,0,1
B,unexposed,9,0,1
B,unexposed,9,0,1
B,unexposed,9,0,1
B,unexposed,9,0,1
B,unexposed,9,0,1
B,unexposed,9,0,1
B,unexposed,9,0,1
B,unexposed,9,0,1
B,unexposed,9,0,1
B,unexposed,9,0,1
B,unexposed,9,0,1
B,unexposed,9,0,1
B,unexposed,9,0,1
B,unexposed,9,0,1
B,unexposed,9,0,1
B,unexposed,9,0,1
B,unexposed,9,0,1
A,exposed,10,0,1
A,exposed,10,0,1
A,exposed,10,0,1
A,exposed,10,0,1
A,exposed,10,0,1
A,exposed,10,0,1
A,exposed,10,0,1
A,exposed,10,0,1
A,exposed,10,0,1
A,exposed,10,0,1
A,exposed,10,0,1
A,exposed,10,0,1
A,exposed,10,0,1
A,exposed,10,0,1
A,exposed,10,0,1
A,exposed,10,0,1
A,exposed,10,0,1
A,exposed,10,0,1
A,exposed,10,0,1
A,exposed,10,0,1
A,exposed,10,0,1
A,exposed,10,0,1
A,exposed,10,0,1
A,exposed,10,0,1
A,exposed,10,1,1
A,exposed,10,0,1
A,exposed,10,0,1
A,exposed,10,0,1
A,exposed,10,0,1
A,exposed,10,0,1
A,exposed,10,0,1
A,exposed,10,0,1
A,exposed,10,0,1
A,exposed,10,0,1
A,exposed,10,0,1
A,exposed,10,0,1
A,exposed,10,0,1
A,exposed,10,0,1
A,exposed,10,0,1
A,exposed,10,0,1
A,exposed,10,0,1
A,exposed,10,0,1
A,exposed,10,0,1
A,exposed,10,0,1
A,exposed,10,1,1
A,exposed,10,0,1
A,exposed,10,0,1
A,exposed,10,0,1
A,unexposed,10,0,1
A,unexposed,10,0,1
A,unexposed,10,0,1
A,unexposed,10,0,1
A,unexposed,10,0,1
A,unexposed,10,0,1
A,unexposed,10,0,1
A,unexposed,10,0,1
A,unexposed,10,0,1
A,unexposed,10,0,1
A,unexposed,10,0,1
A,unexposed,10,0,1
A,unexposed,10,0,1
A,unexposed,10,0,1
A,unexposed,10,0,1
A,unexposed,10,0,1
A,unexposed,10,0,1
A,unexposed,10,0,1
A,unexposed,10,0,1
A,unexposed,10,0,1
A,unexposed,10,0,1
A,unexposed,10,0,1
A,unexposed,10,0,1
A,unexposed,10,0,1
B,exposed,10,0,1
B,exposed,10,0,1
B,exposed,10,0,1
B,exposed,10,0,1
B,exposed,10,0,1
B,exposed,10,0,1
B,exposed,10,0,1
B,exposed,10,0,1
B,exposed,10,0,1
B,exposed,10,0,1
B,exposed,10,0,1
B,exposed,10,0,1
B,exposed,10,0,1
B,exposed,10,0,1
B,exposed,10,0,1
B,exposed,10,0,1
B,exposed,10,1,1
B,exposed,10,0,1
B,exposed,10,0,1
B,exposed,10,0,1
B,exposed,10,0,1
B,exposed,10,0,1
B,exposed,10,0,1
B,exposed,10,0,1
B,exposed,10,0,1
B,exposed,10,0,1
B,exposed,10,0,1
B,exposed,10,0,1
B,exposed,10,0,1
B,exposed,10,1,1
B,exposed,10,0,1
B,exposed,10,0,1
B,exposed,10,0,1
B,exposed,10,0,1
B,exposed,10,0,1
B,exposed,10,0,1
B,exposed,10,0,1
B,exposed,10,1,1
B,exposed,10,0,1
B,exposed,10,0,1
B,exposed,10,0,1
B,exposed,10,0,1
B,exposed,10,0,1
B,exposed,10,0,1
B,exposed,10,0,1
B,exposed,10,0,1
B,exposed,10,0,1
B,exposed,10,1,1
B,unexposed,10,0,1
B,unexposed,10,0,1
B,unexposed,10,0,1
B,unexposed,10,0,1
B,unexposed,10,0,1
B,unexposed,10,0,1
B,unexposed,10,0,1
B,unexposed,10,0,1
B,unexposed,10,0,1
B,unexposed,10,1,1
B,unexposed,10,0,1
B,unexposed,10,0,1
B,unexposed,10,0,1
B,unexposed,10,0,1
B,unexposed,10,1,1
B,unexposed,10,0,1
B,unexposed,10,0,1
B,unexposed,10,0,1
B,unexposed,10,0,1
B,unexposed,10,1,1
B,unexposed,10,0,1
B,unexposed,10,0,1
B,unexposed,10,0,1
B,unexposed,10,0,1
A,exposed,10,0,1
A,exposed,10,0,1
A,exposed,10,0,1
A,exposed,10,0,1
A,exposed,10,0,1
A,exposed,10,0,1
A,exposed,10,0,1
A,exposed,10,0,1
A,exposed,10,0,1
A,exposed,10,0,1
A,exposed,10,0,1
A,exposed,10,0,1
A,exposed,10,0,1
A,exposed,10,0,1
A,exposed,10,0,1
A,exposed,10,0,1
A,exposed,10,0,1
A,exposed,10,0,1
A,exposed,10,0,1
A,exposed,10,0,1
A,exposed,10,0,1
A,exposed,10,0,1
A,exposed,10,0,1
A,exposed,10,0,1
A,exposed,10,0,1
A,exposed,10,0,1
A,exposed,10,0,1
A,exposed,10,0,1
A,exposed,10,0,1
A,exposed,10,0,1
A,exposed,10,0,1
A,exposed,10,0,1
A,exposed,10,0,1
A,exposed,10,0,1
A,exposed,10,0,1
A,exposed,10,0,1
A,exposed,10,0,1
A,exposed,10,0,1
A,exposed,10,0,1
A,exposed,10,0,1
A,exposed,10,0,1
A,exposed,10,0,1
A,exposed,10,0,1
A,exposed,10,0,1
A,exposed,10,0,1
A,exposed,10,0,1
A,exposed,10,0,1
A,exposed,10,0,1
A,unexposed,10,0,1
A,unexposed,10,0,1
A,unexposed,10,0,1
A,unexposed,10,0,1
A,unexposed,10,0,1
A,unexposed,10,0,1
A,unexposed,10,0,1
A,unexposed,10,0,1
A,unexposed,10,0,1
A,unexposed,10,0,1
A,unexposed,10,0,1
A,unexposed,10,0,1
A,unexposed,10,0,1
A,unexposed,10,0,1
A,unexposed,10,0,1
A,unexposed,10,0,1
A,unexposed,10,0,1
A,unexposed,10,0,1
A,unexposed,10,0,1
A,unexposed,10,0,1
A,unexposed,10,0,1
A,unexposed,10,0,1
A,unexposed,10,0,1
A,unexposed,10,0,1
B,exposed,10,0,1
B,exposed,10,0,1
B,exposed,10,0,1
B,exposed,10,0,1
B,exposed,10,0,1
B,exposed,10,0,1
B,exposed,10,0,1
B,exposed,10,0,1
B,exposed,10,0,1
B,exposed,10,0,1
B,exposed,10,0,1
B,exposed,10,0,1
B,exposed,10,0,1
B,exposed,10,0,1
B,exposed,10,0,1
B,exposed,10,0,1
B,exposed,10,0,1
B,exposed,10,0,1
B,exposed,10,0,1
B,exposed,10,0,1
B,exposed,10,0,1
B,exposed,10,0,1
B,exposed,10,0,1
B,exposed,10,0,1
B,exposed,10,1,1
B,exposed,10,0,1
B,exposed,10,0,1
B,exposed,10,0,1
B,exposed,10,0,1
B,exposed,10,0,1
B,exposed,10,0,1
B,exposed,10,0,1
B,exposed,10,0,1
B,exposed,10,0,1
B,exposed,10,0,1
B,exposed,10,0,1
B,exposed,10,0,1
B,exposed,10,0,1
B,exposed,10,0,1
B,exposed,10,0,1
B,exposed,10,0,1
B,exposed,10,0,1
B,exposed,10,0,1
B,exposed,10,0,1
B,exposed,10,0,1
B,exposed,10,0,1
B,exposed,10,0,1
B,exposed,10,0,1
B,unexposed,10,0,1
B,unexposed,10,0,1
B,unexposed,10,0,1
B,unexposed,10,0,1
B,unexposed,10,0,1
B,unexposed,10,0,1
B,unexposed,10,0,1
B,unexposed,10,0,1
B,unexposed,10,0,1
B,unexposed,10,0,1
B,unexposed,10,0,1
B,unexposed,10,0,1
B,unexposed,10,0,1
B,unexposed,10,0,1
B,unexposed,10,0,1
B,unexposed,10,0,1
B,unexposed,10,1,1
B,unexposed,10,1,1
B,unexposed,10,0,1
B,unexposed,10,0,1
B,unexposed,10,0,1
B,unexposed,10,0,1
B,unexposed,10,0,1
B,unexposed,10,0,1
A,exposed,11,1,1
A,exposed,11,0,1
A,exposed,11,0,1
A,exposed,11,0,1
A,exposed,11,0,1
A,exposed,11,0,1
A,exposed,11,0,1
A,exposed,11,0,1
A,exposed,11,1,1
A,exposed,11,0,1
A,exposed,11,0,1
A,exposed,11,0,1
A,exposed,11,0,1
A,exposed,11,0,1
A,exposed,11,0,1
A,exposed,11,1,1
A,exposed,11,0,1
A,exposed,11,0,1
A,exposed,11,0,1
A,exposed,11,0,1
A,exposed,11,0,1
A,exposed,11,0,1
A,exposed,11,0,1
A,exposed,11,0,1
A,exposed,11,0,1
A,exposed,11,0,1
A,exposed,11,0,1
A,exposed,11,0,1
A,exposed,11,0,1
A,exposed,11,0,1
A,exposed,11,0,1
A,exposed,11,0,1
A,exposed,11,0,1
A,exposed,11,0,1
A,exposed,11,0,1
A,exposed,11,0,1
A,exposed,11,1,1
A,exposed,11,0,1
A,exposed,11,0,1
A,exposed,11,1,1
A,exposed,11,0,1
A,exposed,11,1,1
A,exposed,11,0,1
A,exposed,11,0,1
A,exposed,11,0,1
A,exposed,11,1,1
A,exposed,11,0,1
A,exposed,11,0,1
A,unexposed,11,0,1
A,unexposed,11,0,1
A,unexposed,11,0,1
A,unexposed,11,0,1
A,unexposed,11,0,1
A,unexposed,11,1,1
A,unexposed,11,0,1
A,unexposed,11,0,1
A,unexposed,11,0,1
A,unexposed,11,0,1
A,unexposed,11,0,1
A,unexposed,11,0,1
A,unexposed,11,0,1
A,unexposed,11,0,1
A,unexposed,11,1,1
A,unexposed,11,0,1
A,unexposed,11,0,1
A,unexposed,11,0,1
A,unexposed,11,0,1
A,unexposed,11,0,1
A,unexposed,11,0,1
A,unexposed,11,0,1
A,unexposed,11,0,1
A,unexposed,11,0,1
B,exposed,11,0,1
B,exposed,11,0,1
B,exposed,11,1,1
B,exposed,11,0,1
B,exposed,11,0,1
B,exposed,11,0,1
B,exposed,11,0,1
B,exposed,11,0,1
B,exposed,11,0,1
B,exposed,11,0,1
B,exposed,11,0,1
B,exposed,11,0,1
B,exposed,11,0,1
B,exposed,11,0,1
B,exposed,11,1,1
B,exposed,11,0,1
B,exposed,11,0,1
B,exposed,11,1,1
B,exposed,11,0,1
B,exposed,11,1,1
B,exposed,11,0,1
B,exposed,11,1,1
B,exposed,11,1,1
B,exposed,11,0,1
B,exposed,11,1,1
B,exposed,11,0,1
B,exposed,11,0,1
B,exposed,11,0,1
B,exposed,11,0,1
B,exposed,11,0,1
B,exposed,11,0,1
B,exposed,11,1,1
B,exposed,11,1,1
B,exposed,11,1,1
B,exposed,11,0,1
B,exposed,11,0,1
B,exposed,11,0,1
B,exposed,11,0,1
B,exposed,11,1,1
B,exposed,11,0,1
B,exposed,11,1,1
B,exposed,11,0,1
B,exposed,11,0,1
B,exposed,11,1,1
B,exposed,11,0,1
B,exposed,11,1,1
B,exposed,11,0,1
B,exposed,11,0,1
B,unexposed,11,0,1
B,unexposed,11,1,1
B,unexposed,11,1,1
B,unexposed,11,0,1
B,unexposed,11,0,1
B,unexposed,11,0,1
B,unexposed,11,0,1
B,unexposed,11,0,1
B,unexposed,11,0,1
B,unexposed,11,0,1
B,unexposed,11,1,1
B,unexposed,11,1,1
B,unexposed,11,1,1
B,unexposed,11,0,1
B,unexposed,11,0,1
B,unexposed,11,0,1
B,unexposed,11,1,1
B,unexposed,11,1,1
B,unexposed,11,0,1
B,unexposed,11,0,1
B,unexposed,11,0,1
B,unexposed,11,0,1
B,unexposed,11,0,1
B,unexposed,11,1,1
A,exposed,11,0,1
A,exposed,11,0,1
A,exposed,11,0,1
A,exposed,11,0,1
A,exposed,11,0,1
A,exposed,11,0,1
A,exposed,11,0,1
A,exposed,11,0,1
A,exposed,11,0,1
A,exposed,11,0,1
A,exposed,11,0,1
A,exposed,11,0,1
A,exposed,11,0,1
A,exposed,11,0,1
A,exposed,11,0,1
A,exposed,11,1,1
A,exposed,11,0,1
A,exposed,11,0,1
A,exposed,11,0,1
A,exposed,11,0,1
A,exposed,11,1,1
A,exposed,11,0,1
A,exposed,11,0,1
A,exposed,11,0,1
A,exposed,11,0,1
A,exposed,11,0,1
A,exposed,11,0,1
A,exposed,11,0,1
A,exposed,11,0,1
A,exposed,11,0,1
A,exposed,11,0,1
A,exposed,11,0,1
A,exposed,11,0,1
A,exposed,11,0,1
A,exposed,11,0,1
A,exposed,11,0,1
A,exposed,11,0,1
A,exposed,11,0,1
A,exposed,11,0,1
A,exposed,11,0,1
A,exposed,11,0,1
A,exposed,11,0,1
A,exposed,11,0,1
A,exposed,11,0,1
A,exposed,11,0,1
A,exposed,11,0,1
A,exposed,11,0,1
A,exposed,11,0,1
A,unexposed,11,0,1
A,unexposed,11,0,1
A,unexposed,11,0,1
A,unexposed,11,0,1
A,unexposed,11,0,1
A,unexposed,11,0,1
A,unexposed,11,0,1
A,unexposed,11,1,1
A,unexposed,11,0,1
A,unexposed,11,0,1
A,unexposed,11,1,1
A,unexposed,11,0,1
A,unexposed,11,0,1
A,unexposed,11,0,1
A,unexposed,11,0,1
A,unexposed,11,0,1
A,unexposed,11,0,1
A,unexposed,11,0,1
A,unexposed,11,1,1
A,unexposed,11,0,1
A,unexposed,11,0,1
A,unexposed,11,0,1
A,unexposed,11,0,1
A,unexposed,11,1,1
B,exposed,11,0,1
B,exposed,11,0,1
B,exposed,11,0,1
B,exposed,11,0,1
B,exposed,11,0,1
B,exposed,11,0,1
B,exposed,11,1,1
B,exposed,11,0,1
B,exposed,11,0,1
B,exposed,11,0,1
B,exposed,11,0,1
B,exposed,11,0,1
B,exposed,11,1,1
B,exposed,11,0,1
B,exposed,11,0,1
B,exposed,11,0,1
B,exposed,11,0,1
B,exposed,11,0,1
B,exposed,11,0,1
B,exposed,11,0,1
B,exposed,11,0,1
B,exposed,11,0,1
B,exposed,11,0,1
B,exposed,11,0,1
B,exposed,11,0,1
B,exposed,11,0,1
B,exposed,11,1,1
B,exposed,11,0,1
B,exposed,11,0,1
B,exposed,11,0,1
B,exposed,11,0,1
B,exposed,11,0,1
B,exposed,11,0,1
B,exposed,11,0,1
B,exposed,11,0,1
B,exposed,11,0,1
B,exposed,11,0,1
B,exposed,11,0,1
B,exposed,11,0,1
B,exposed,11,0,1
B,exposed,11,0,1
B,exposed,11,0,1
B,exposed,11,0,1
B,exposed,11,0,1
B,exposed,11,0,1
B,exposed,11,0,1
B,exposed,11,0,1
B,exposed,11,0,1
B,unexposed,11,1,1
B,unexposed,11,1,1
B,unexposed,11,1,1
B,unexposed,11,0,1
B,unexposed,11,1,1
B,unexposed,11,1,1
B,unexposed,11,1,1
B,unexposed,11,1,1
B,unexposed,11,0,1
B,unexposed,11,1,1
B,unexposed,11,0,1
B,unexposed,11,1,1
B,unexposed,11,0,1
B,unexposed,11,0,1
B,unexposed,11,0,1
B,unexposed,11,0,1
B,unexposed,11,1,1
B,unexposed,11,0,1
B,unexposed,11,1,1
B,unexposed,11,0,1
B,unexposed,11,0,1
B,unexposed,11,0,1
B,unexposed,11,0,1
B,unexposed,11,0,1
A,exposed,12,0,1
A,exposed,12,0,1
A,exposed,12,0,1
A,exposed,12,0,1
A,exposed,12,1,1
A,exposed,12,0,1
A,exposed,12,1,1
A,exposed,12,0,1
A,exposed,12,0,1
A,exposed,12,0,1
A,exposed,12,1,1
A,exposed,12,0,1
A,exposed,12,1,1
A,exposed,12,0,1
A,exposed,12,0,1
A,exposed,12,1,1
A,exposed,12,1,1
A,exposed,12,0,1
A,exposed,12,0,1
A,exposed,12,0,1
A,exposed,12,1,1
A,exposed,12,0,1
A,exposed,12,0,1
A,exposed,12,0,1
A,exposed,12,0,1
A,exposed,12,0,1
A,exposed,12,0,1
A,exposed,12,1,1
A,exposed,12,0,1
A,exposed,12,0,1
A,exposed,12,0,1
A,exposed,12,0,1
A,exposed,12,0,1
A,exposed,12,0,1
A,exposed,12,0,1
A,exposed,12,0,1
A,exposed,12,0,1
A,exposed,12,0,1
A,exposed,12,1,1
A,exposed,12,0,1
A,exposed,12,0,1
A,exposed,12,1,1
A,exposed,12,0,1
A,exposed,12,0,1
A,exposed,12,0,1
A,exposed,12,0,1
A,exposed,12,0,1
A,exposed,12,0,1
A,unexposed,12,0,1
A,unexposed,12,0,1
A,unexposed,12,0,1
A,unexposed,12,1,1
A,unexposed,12,0,1
A,unexposed,12,1,1
A,unexposed,12,0,1
A,unexposed,12,1,1
A,unexposed,12,1,1
A,unexposed,12,0,1
A,unexposed,12,1,1
A,unexposed,12,1,1
A,unexposed,12,0,1
A,unexposed,12,1,1
A,unexposed,12,1,1
A,unexposed,12,1,1
A,unexposed,12,0,1
A,unexposed,12,0,1
A,unexposed,12,1,1
A,unexposed,12,1,1
A,unexposed,12,0,1
A,unexposed,12,1,1
A,unexposed,12,1,1
A,unexposed,12,1,1
B,exposed,12,0,1
B,exposed,12,1,1
B,exposed,12,0,1
B,exposed,12,0,1
B,exposed,12,0,1
B,exposed,12,0,1
B,exposed,12,1,1
B,exposed,12,0,1
B,exposed,12,0,1
B,exposed,12,0,1
B,exposed,12,0,1
B,exposed,12,0,1
B,exposed,12,1,1
B,exposed,12,0,1
B,exposed,12,0,1
B,exposed,12,0,1
B,exposed,12,1,1
B,exposed,12,1,1
B,exposed,12,0,1
B,exposed,12,1,1
B,exposed,12,0,1
B,exposed,12,0,1
B,exposed,12,1,1
B,exposed,12,0,1
B,exposed,12,0,1
B,exposed,12,1,1
B,exposed,12,1,1
B,exposed,12,0,1
B,exposed,12,0,1
B,exposed,12,0,1
B,exposed,12,0,1
B,exposed,12,0,1
B,exposed,12,1,1
B,exposed,12,0,1
B,exposed,12,0,1
B,exposed,12,0,1
B,exposed,12,0,1
B,exposed,12,1,1
B,exposed,12,0,1
B,exposed,12,1,1
B,exposed,12,1,1
B,exposed,12,0,1
B,exposed,12,1,1
B,exposed,12,0,1
B,exposed,12,0,1
B,exposed,12,0,1
B,exposed,12,0,1
B,exposed,12,0,1
B,unexposed,12,1,1
B,unexposed,12,1,1
B,unexposed,12,1,1
B,unexposed,12,1,1
B,unexposed,12,1,1
B,unexposed,12,1,1
B,unexposed,12,1,1
B,unexposed,12,1,1
B,unexposed,12,1,1
B,unexposed,12,1,1
B,unexposed,12,1,1
B,unexposed,12,1,1
B,unexposed,12,0,1
B,unexposed,12,0,1
B,unexposed,12,1,1
B,unexposed,12,1,1
B,unexposed,12,1,1
B,unexposed,12,0,1
B,unexposed,12,1,1
B,unexposed,12,1,1
B,unexposed,12,1,1
B,unexposed,12,1,1
B,unexposed,12,1,1
B,unexposed,12,1,1
A,exposed,12,0,1
A,exposed,12,0,1
A,exposed,12,0,1
A,exposed,12,0,1
A,exposed,12,0,1
A,exposed,12,0,1
A,exposed,12,0,1
A,exposed,12,0,1
A,exposed,12,0,1
A,exposed,12,0,1
A,exposed,12,0,1
A,exposed,12,0,1
A,exposed,12,0,1
A,exposed,12,0,1
A,exposed,12,0,1
A,exposed,12,0,1
A,exposed,12,0,1
A,exposed,12,0,1
A,exposed,12,1,1
A,exposed,12,0,1
A,exposed,12,0,1
A,exposed,12,1,1
A,exposed,12,0,1
A,exposed,12,0,1
A,exposed,12,0,1
A,exposed,12,0,1
A,exposed,12,0,1
A,exposed,12,0,1
A,exposed,12,0,1
A,exposed,12,0,1
A,exposed,12,0,1
A,exposed,12,0,1
A,exposed,12,0,1
A,exposed,12,0,1
A,exposed,12,0,1
A,exposed,12,0,1
A,exposed,12,0,1
A,exposed,12,0,1
A,exposed,12,0,1
A,exposed,12,0,1
A,exposed,12,0,1
A,exposed,12,0,1
A,exposed,12,0,1
A,exposed,12,0,1
A,exposed,12,0,1
A,exposed,12,0,1
A,exposed,12,0,1
